iso-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
2017-01-01;1.55;0.4;2.7;1;2.09;0;98
2017-01-02;1.8;0.6;3;1.2;2.17;0;98
2017-01-03;2.1;0.7;3.5;1.1;2.27;0;95
2017-01-04;1.6;-0.4;3.6;1.6;4.98;0;91
2017-01-05;1.7;-1.7;5.1;1.6;3.12;0;88
2017-01-06;0.6;-4.8;6;0.6;9.11;0.5;84
2017-01-07;-0.1;-6.2;6;0.6;8.74;0;83
2017-01-08;0.25;-5;5.5;1.6;2.23;0;86
2017-01-09;4.65;1.4;7.9;1.8;4.35;4;82
2017-01-10;6.65;4.9;8.4;3.4;1.9;19;87
2017-01-11;8.1;4.7;11.5;1.7;2.47;2.5;90
2017-01-12;10.6;9.1;12.1;1.7;3.06;5.5;90
2017-01-13;5.15;2.8;7.5;4.1;6.85;1.5;83
2017-01-14;4.5;2.1;6.9;3.5;6.37;0.5;80
2017-01-15;5.15;3.4;6.9;3.6;3.82;3.5;85
2017-01-16;6.6;4.1;9.1;4.2;3.47;0.5;81
2017-01-17;0.7;-1.4;2.8;4.1;9.31;0;71
2017-01-18;-1.8;-4.8;1.2;1.5;8.52;0;76
2017-01-19;-2.55;-7.3;2.2;0.5;10.56;0;82
2017-01-20;1.8;-5.1;8.7;1.4;8.75;0;82
2017-01-21;3.75;-3.3;10.8;1.2;8.04;0;79
2017-01-22;2.25;-2.5;7;0.6;2.7;1.5;90
2017-01-23;6;3.2;8.8;1.4;4.91;0.5;86
2017-01-24;3.7;1.1;6.3;2.5;9.84;0;76
2017-01-25;0.3;-1.8;2.4;1.2;6.23;0;84
2017-01-26;2.15;-5.7;10;2.3;8.45;0;85
2017-01-27;9;4.8;13.2;6.4;3.77;0;74
2017-01-28;8;4.8;11.2;1.6;4.37;0.5;84
2017-01-29;6.9;0.1;13.7;2;10.13;0;79
2017-01-30;9.65;7;12.3;3.9;5.04;0;84
