iso-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
2014-01-01;0.5;-2;2.9;2.2;2.08;0;93.2
2014-01-02;2.6;-0.3;4.8;3.2;1.44;0.2;92.2
2014-01-03;5;1;8.1;2.9;3.42;0;88.5
2014-01-04;5.7;3.5;8.5;2.4;2.61;0;89
2014-01-05;5.2;1;7.3;2;1.4;2.1;98.1
2014-01-06;3.6;-0.4;7.1;2.9;2.21;2.6;90.6
2014-01-07;7.9;5.6;11.3;3;4.04;6.3;91.9
2014-01-08;7.7;3.9;10.6;3;1.33;3.5;91.3
2014-01-09;7.1;1.7;11.8;3.4;1.65;0.3;89
2014-01-10;6.5;4.6;8.5;5.2;1.19;0.1;72.5
2014-01-11;5;3.4;8;3.4;4.26;1.7;84.7
2014-01-12;4.2;2.3;5.7;5;2.03;0.2;81
2014-01-13;1.8;0.1;3.2;2.2;1.82;0;92.9
2014-01-14;3;2.2;4.1;1.4;1.52;0;99.5
2014-01-15;2.2;1.2;3.4;1.3;1.73;0.2;94
2014-01-16;1.3;0.5;2.3;3;0.65;6.1;99.5
2014-01-17;4.4;2.3;6.3;1.7;1.74;1.3;99.6
2014-01-18;2.9;0.3;6.3;2.5;4.44;0;97.6
2014-01-19;-0.7;-3.4;4.2;4.7;0.54;0;99.1
2014-01-20;-3.1;-3.7;-2.5;4;0.42;0.8;99.3
2014-01-21;-4.2;-5.9;-3.3;2.2;1.75;1.1;98.6
2014-01-22;-6.1;-6.5;-5.5;2.6;1.22;0;96.3
2014-01-23;-7.2;-8.5;-5.8;2.7;3.09;0;93.4
2014-01-24;-8.8;-13.5;-5.9;3.6;1.43;0;85.9
2014-01-25;-13;-15.6;-10.2;2.4;7.62;0;83.5
2014-01-26;-12.4;-15.1;-9.7;3;3.91;0;86.5
2014-01-27;-5.5;-9.6;-2.8;2.6;1.49;0.4;91.9
2014-01-28;-3.7;-6.3;-1.8;2.9;1.93;0;92.5
2014-01-29;-6.7;-7.7;-5.7;4;1.87;0.1;83.9
2014-01-30;-5.8;-7.4;-4.5;4;2.24;0;86.3
2014-01-31;-2.3;-6.5;1.1;2.4;2.12;0;89.4
2014-02-01;1.6;-3.2;5.8;2.5;6.32;0;87
2014-02-02;1.8;1.2;2.8;1.8;2.05;7.4;98.6
2014-02-03;1.1;-1;3.1;2;2.85;0;97.5
2014-02-04;1;-1.6;5.5;2.6;7.05;0;79.4
2014-02-05;0.5;-2.1;4.8;2.4;6.93;0;89.2
2014-02-06;3.5;0.4;9;2.4;5.06;0.1;88.1
2014-02-07;5.9;2.1;10.5;4.3;2.59;0.6;73.1
2014-02-08;6;2.3;9;3.4;5.15;0.8;72.8
2014-02-09;5.7;2.1;9.1;3.6;6.05;0.4;74.2
2014-02-10;3;-1.4;8.8;2.1;8.15;0;79.2
2014-02-11;3.9;0.1;7.9;2.6;3.51;0;82.5
2014-02-12;2.5;-0.9;8;2.2;5.52;0;81.7
2014-02-13;4.6;-0.2;9.4;3.5;7.06;0.6;78.5
2014-02-14;4.3;0.9;7.9;3.3;4.92;1;86
2014-02-15;6.7;2.3;10.6;4.7;3.12;0.2;71
2014-02-16;7.2;3.2;10.5;4;6.43;0;70.7
2014-02-17;4.9;0.4;9.8;2.1;8.45;0;78.8
2014-02-18;3.6;-1.2;9.6;1.7;6.23;0;86.8
2014-02-19;4.9;0.9;8.3;2;2.67;0.5;93.7
2014-02-20;6.1;2.8;10.4;2.1;6.74;0;86.4
2014-02-21;5.7;2.3;8.7;2.4;2.34;3.7;97.6
2014-02-22;4.7;0;10.6;2.1;10.28;0;80.2
2014-02-23;4.3;-1.4;11;2.1;10.81;0;81.2
2014-02-24;5;-0.8;11.9;3.1;11.42;0;70.8
2014-02-25;5.2;-1.7;12.7;2.3;10.9;0;79.3
2014-02-26;6;0.9;12.9;1.4;9.75;0;81.1
2014-02-27;5.5;1;11.9;1.2;9.63;0;82.1
2014-02-28;4.8;1.1;8.9;1.7;6.94;0;87.8
2014-03-01;3.7;-2.8;11;1.3;10.03;0;86.9
2014-03-02;4;-1.7;10.9;1.4;10.53;0;86.2
2014-03-03;4.4;-0.2;10;2.9;10.75;0;82.3
2014-03-04;4.9;3.5;7.4;2;5.57;0;94.6
2014-03-05;5.5;1.4;10.3;0.8;6.38;0.1;93.6
2014-03-06;5.3;-1.4;9.6;0.7;5.49;0;91.5
2014-03-07;3.6;-2.6;10.8;1.6;12.1;0;82
2014-03-08;5.3;-0.7;11.2;1.2;14.03;0;72
2014-03-09;6.9;-0.8;16.8;2.3;13.86;0;66.5
2014-03-10;7.3;-1.3;16.3;1.2;14.08;0;68.7
2014-03-11;6.6;-0.4;13.8;2.2;13.78;0;76
2014-03-12;5.1;-1.2;12.7;0.9;15.06;0;68
2014-03-13;6.5;-2.5;16.5;0.8;15.14;0;62.4
2014-03-14;6.5;-2;13.7;1.7;14.17;0;70.6
2014-03-15;8.3;5.7;10.9;6.5;8.43;1.5;60.3
2014-03-16;8.3;5.2;10.8;6.2;3.89;5.1;93.6
2014-03-17;9.7;8.2;11.7;5.2;2.85;0.2;84.1
2014-03-18;9.4;7.2;12.9;3;6.2;0.1;81.8
2014-03-19;8.9;6.3;10.9;4.1;4.33;2;89.1
2014-03-20;12.7;7.3;19;3.4;16.75;0;58.8
2014-03-21;15;7;22;4.8;16.08;0;49.7
2014-03-22;7.7;4.3;13.6;1.9;7.26;5.8;92.8
2014-03-23;6.7;4.5;9;1.4;8.2;0;84.4
2014-03-24;4.7;2.5;6.8;1.5;4.14;4.9;97.5
2014-03-25;3.9;1.9;7.8;1.9;7.91;2.8;94.6
2014-03-26;4.4;-0.4;9.8;2;14.99;0;85.7
2014-03-27;5.7;0;11.7;2.2;16.83;0;78.6
2014-03-28;5.6;1.2;9.7;1.4;4.28;0;97.3
2014-03-29;6.4;0.5;14.5;1.1;11.53;0;96.2
2014-03-30;9;0.8;18.2;1.1;18.3;0;74.7
2014-03-31;8.7;2.3;15.4;1.2;13.44;0;76.4
2014-04-01;6.5;1.4;11.1;1.5;12.05;0;91
2014-04-02;9.9;2.8;17.2;2.7;16.8;0;69.3
2014-04-03;11.4;3.9;19.4;1.7;16.57;0;74.6
2014-04-04;8.8;3.5;14;3.2;13.69;0.1;71
2014-04-05;7.7;5.4;11.1;2;8.89;0.3;87.3
2014-04-06;11.2;5.7;17.2;1.3;16.72;0;74.9
2014-04-07;14.2;9.9;19.4;1.7;11.73;0.3;83
2014-04-08;12.4;6.1;18.3;3.7;10.32;2.6;77.7
2014-04-09;8;5.1;12.9;4.4;11.86;3.4;84.5
2014-04-10;6.6;0.9;8.5;2.9;5.45;0.5;91
2014-04-11;7.5;-0.4;12.4;1;13.96;0.7;79.3
2014-04-12;9.8;6;14.9;0.8;11.93;0.3;80.9
2014-04-13;11;7.5;14.6;2.9;15.16;0.5;67.2
2014-04-14;7;4.5;10.3;4.1;11.69;9.3;82.8
2014-04-15;7;4.5;11.6;4.2;18.31;3.5;81.7
2014-04-16;6.6;1.3;11.8;1.5;20.78;0;68.5
2014-04-17;7.6;-0.8;13.6;2.5;21.49;0;58.9
2014-04-18;7.4;3.8;10.8;1.9;11.89;3.2;83.9
2014-04-19;12;1.8;21.6;2.4;19.84;0;77.1
2014-04-20;14.6;9.6;19.6;2.7;18.91;0.5;73.8
2014-04-21;13;10.1;17.9;2.4;12.88;0.5;83.3
2014-04-22;13.7;8.6;21.1;1.5;16.96;3.7;85.6
2014-04-23;13.5;10;16.4;1.3;9.53;0.5;97.6
2014-04-24;13.2;9.3;18.6;1.5;13.44;0.5;92
2014-04-25;15.3;10.4;20.9;2.1;23.5;0.1;72.7
2014-04-26;14.7;8.9;20.7;1.9;20.67;0;82.5
2014-04-27;13;9.8;16.9;2.1;12.83;0;87.2
2014-04-28;13.8;8.7;19.6;2;25.27;0;74.4
2014-04-29;14.3;5.7;20.9;1.1;24.32;0;61.6
2014-04-30;14.2;8.3;20.9;1.3;23.34;0;60.4
2014-05-01;13.2;8.4;18.5;2;13.21;0;71.8
2014-05-02;4.6;2.8;8.1;2.6;5.11;14.3;98.1
2014-05-03;7.2;1.2;13;2;26.18;0;67.1
2014-05-04;5.8;0.7;10.4;2.3;12.9;0;74.3
2014-05-05;6.8;-0.8;13.5;1.2;16.73;0;74.2
2014-05-06;12.5;3.1;19.6;2.5;17.48;0.2;64.9
2014-05-07;13.7;6.5;18.9;2.6;16.06;0;73.6
2014-05-08;12.5;6.5;16.6;2.5;16.27;0.8;75
2014-05-09;13.5;9.3;18.9;3.2;13.43;2.5;85.2
2014-05-10;12.5;8;17.3;3.2;15.27;2.6;70.9
2014-05-11;12.2;8.8;15.2;3.2;17.44;6.1;73.3
2014-05-12;10.9;8.6;13.8;2.8;11.6;4.1;84.1
2014-05-13;11.3;8.4;15.2;2.9;15.81;0.2;73.5
