iso-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
2017-01-01;-0.7;-4;4.3;1.191805556;3.89;0;59.7
2017-01-02;-2.1;-4.8;1;1.750972222;2.22;0;78.7
2017-01-03;-1.7;-4.3;0.9;2.415972222;2.69;0.8;86.1
2017-01-04;0.5;-1.1;2.5;3.671527778;2.32;2.8;82.8
2017-01-05;-5.6;-10.7;-0.2;4.017847222;3.22;0;70
2017-01-06;-14;-18.6;-10.7;2.114861111;3.58;0;68.5
2017-01-07;-17.4;-20;-15.3;1.3875;4.56;0;71.9
2017-01-08;-14.3;-19.7;-9.2;0.859861111;5.02;0;67.4
2017-01-09;-9;-11.7;-7.4;1.169166667;3.64;4;63.6
2017-01-10;-9.6;-12.8;-6.9;0.693125;4.39;0;74.2
2017-01-11;-10.2;-15.1;-3.5;0.984930556;5.04;0;69.9
2017-01-12;-0.8;-6;1.9;2.039097222;3.61;0.8;79.3
2017-01-13;1.6;-2.6;5.6;1.644808362;2.78;0;67.8
2017-01-14;0;-1.6;1.4;2.270833333;2.67;0;78.2
2017-01-15;-2.1;-5.5;0.4;1.127708333;3.84;1.2;84.4
2017-01-16;-3.1;-5.9;-0.3;0.596319444;4.68;0;77.2
2017-01-17;-4.7;-6.7;-2.5;0.733472222;2.42;0;83.3
2017-01-18;-7.3;-8.4;-6.3;0.771527778;2.64;0;85.7
2017-01-19;-7.6;-11.4;-6;0.828680556;2.78;0;82.3
2017-01-20;-4;-10.8;-0.6;1.692569444;2.97;0;72
2017-01-21;-0.1;-1.9;2.1;1.258611111;5.16;0;81.4
2017-01-22;-0.8;-5.1;2;0.766736111;3.48;0;83
2017-01-23;-4.7;-7.6;-0.1;0.323611111;5.64;0;87.1
2017-01-24;-5.8;-8.5;-4.4;0;1.5;0;83.8
2017-01-25;-3;-4.8;-1.5;0;1.41;0;88
2017-01-26;-4;-7.3;-1.5;0.001805556;4.5;0;84.2
2017-01-27;-4.7;-9.3;0.8;0.359722222;6.72;0;72
2017-01-28;-5.9;-10.5;-1.1;0.148819444;6.66;0;70.6
2017-01-29;-6.3;-10.4;-0.8;0.383541667;7.08;0;76.2
2017-01-30;-4.8;-10.4;1.5;0.674513889;6.8;0;73
2017-01-31;-3.9;-9.8;2.3;0.868680556;7.24;0;75.1
2017-02-01;-2.3;-5.7;0.9;0.817708333;4.35;0;81
2017-02-02;0.2;-1.9;4;0.891944444;6.97;3;86.3
2017-02-03;0.7;-0.7;2.6;0.607986111;3.59;3.4;92.7
2017-02-04;0;-0.5;0.6;0.286736111;2.42;0;94.8
2017-02-05;0.8;-0.4;2.7;0.467916667;2.64;3;96.2
2017-02-06;-0.9;-2.9;1.9;0.173125;1.79;0;93.6
2017-02-07;-4.7;-7.5;-2.9;0;1.34;0;86.6
2017-02-08;-7.8;-8.9;-6.7;0;3.95;0;77.8
2017-02-09;-6.9;-8.3;-5.5;0;3.56;0;78.8
2017-02-10;-4.5;-7.3;-0.3;0.258958333;6.67;0;68.5
2017-02-11;-7.3;-10.7;-3.1;0.237013889;9.57;0;68.6
2017-02-12;-7.1;-10.8;-1.7;0.410694444;9.34;0;76.4
2017-02-13;-7.4;-8.1;-6.4;1.011041667;2.63;0;85
2017-02-14;-3.2;-9.3;4.4;1.457638889;10.2;0;77.7
2017-02-15;1.4;-4.4;8.6;1.011666667;10.58;0;63.2
2017-02-16;3.2;-2.1;10.2;0.890625;10.75;0;64
2017-02-17;1.9;0.4;5.8;1.216180556;3.9;4.2;81
2017-02-18;1.6;0.6;3.3;1.330625;4.06;0.8;92
2017-02-19;2.1;-0.2;4.2;0.717986111;3.84;0;84.4
2017-02-20;2.8;-1.4;7.1;1.329097222;11.29;0.2;74.8
2017-02-21;5;3.1;7.6;2.956458333;3.76;4;87.4
2017-02-22;6.2;1.1;9.8;2.297777778;5.2;1.6;80.2
2017-02-23;6.3;3.9;11.4;1.889722222;2.91;2.2;81.4
2017-02-24;6;-0.9;11.5;4.006805556;4.89;0;59.8
2017-02-25;0;-1.9;3.4;2.18;9.93;0;73.8
2017-02-26;3.7;-1.2;7.1;1.120555556;3.06;0;54.1
2017-02-27;8.4;2.9;15.2;1.216041667;14.2;0;48.9
2017-02-28;9.1;4.6;14.7;1.832569444;10.29;0;58.8
2017-03-01;6.2;1.6;10.8;1.738680556;6.26;1;71.8
2017-03-02;6.3;1.4;11.9;2.278125;10.78;0;62.7
2017-03-03;5.8;2.2;10.5;2.026041667;13.8;0;62.4
2017-03-04;9.2;2.8;16.2;2.222986111;12.9;0;54.5
2017-03-05;12.7;7.1;16.9;1.546041667;13.62;5.6;55.9
2017-03-06;6.1;3.1;9.8;1.156458333;6.69;6.2;83.4
2017-03-07;5.1;1.8;10.3;1.050555556;10.12;0.4;76.9
2017-03-08;3;0.8;5.1;1.350763889;5.86;0;79.4
2017-03-09;2.6;-0.7;5.5;1.105208333;3.64;1.2;90.1
2017-03-10;4;1.2;7.3;1.082569444;6.64;0;79.5
2017-03-11;4;2.1;6.9;2.092986111;15.58;0;72.4
2017-03-12;3;1.1;5.6;1.310486111;4.27;0;76.3
2017-03-13;3;1.3;4.8;0.902013889;3.57;0;78.1
2017-03-14;4.1;0.5;8;0.844027778;9.89;0;75.6
2017-03-15;5.3;0.5;11;2.234583333;6.25;0;69.4
2017-03-16;4.1;0.4;9.3;2.504583333;9.56;0;67.4
2017-03-17;6.7;-0.3;12.9;1.287083333;12.14;0.8;67.3
2017-03-18;4.8;2.2;8;2.444583333;4.82;8.6;82.5
2017-03-19;3.8;1.2;7.5;3.336388889;16.78;0.8;66.2
2017-03-20;8.2;2.5;11.5;2.109930556;7.61;4.8;84.8
2017-03-21;10.7;7.3;14.4;1.343055556;12.69;0;71.3
2017-03-22;5.8;3.8;9.5;1.332986111;2.09;13;91
2017-03-23;5.3;3.5;7;1.238611111;3.83;1.4;93.4
2017-03-24;6;1.7;7.5;1.305138889;3.71;0;86.7
2017-03-25;4.9;-1.1;10.7;2.348125;14.83;0;70.2
2017-03-26;3.2;0.4;6.8;1.765694444;13.48;0;69.4
2017-03-27;7.2;0.3;14.9;1.985694444;20.76;0;62.7
2017-03-28;11.6;4.1;18.9;1.816111111;21.59;0;51.3
2017-03-29;12.6;6.9;18.8;3.041736111;16.17;0;57.9
2017-03-30;10.1;6.2;13.9;1.497847222;9.41;0;72
2017-03-31;12.9;5.1;20.8;0.921805556;21.71;0;65
2017-04-01;15.8;9.2;22.8;0.910069444;22.14;0;48.5
2017-04-02;17.3;10.4;24;1.498819444;20.01;0;44.5
2017-04-03;12.5;8.3;17.6;1.789861111;16.86;0;69.2
2017-04-04;13.6;7.5;19.4;1.369166667;20.56;0;66.9
2017-04-05;11.7;7.5;18.9;1.200347222;17.69;14;75.6
2017-04-06;5.3;2.2;8.4;3.170486111;13.94;6.8;83.6
2017-04-07;4.9;2;7.6;1.889513889;6;3.8;88.8
2017-04-08;9.2;6;13.2;2.597222222;16.9;0;77.7
2017-04-09;9.6;4.7;14.9;0.982777778;19.86;0;73.9
2017-04-10;13.2;5.9;20.8;0.906388889;25.26;0;62.5
2017-04-11;7.6;3.7;12.5;3.002986111;10.89;2.4;71.6
2017-04-12;7.8;2.7;11.1;1.740277778;13.57;0;66.7
2017-04-13;8;4.7;10.8;2.675208333;11.27;2;76.8
2017-04-14;7.1;3.7;10.9;2.641597222;15.21;0;66.3
2017-04-15;8.5;2.8;14.2;1.300069444;12.16;0.8;66.9
2017-04-16;5.5;2.4;9.9;3.040625;21.5;2;76.5
2017-04-17;4.8;1;9.8;1.071319444;17.6;8.2;79.1
2017-04-18;1.3;0.1;3.8;1.251111111;5.95;9.8;92
2017-04-19;2;0.1;5.4;2.41625;8.88;6.6;81.3
2017-04-20;1.8;0.4;3.8;2.255416667;11.72;0;59.2
2017-04-21;4.6;-1.5;9;2.355347222;17.44;0;60.2
2017-04-22;6.8;1.8;10.9;2.721111111;16.51;0.2;66
2017-04-23;4.1;0.7;8.1;2.817986111;17.65;0.2;73
