iso-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
2013-01-01;9.05;6.1;12;4.37;3.17;0;93.06
2013-01-02;6.65;4.7;8.6;1.7;4.06;0;79.06
2013-01-03;2.85;-2.1;7.8;1.91;7.1;0;79.82
2013-01-04;4.9;2.7;7.1;0.98;1.7;0;88.19
2013-01-05;5.85;5.3;6.4;1.47;1.39;0;81.98
2013-01-06;4.15;3.5;4.8;2.73;1.45;0.5;83.36
2013-01-07;3.55;2.9;4.2;3.5;1.38;0;77.32
2013-01-08;2.65;1.5;3.8;2.08;1.22;0;70.9
2013-01-09;4.2;3.1;5.3;3.97;1.38;4;77.25
2013-01-10;7.45;3.5;11.4;3.03;2.34;19;89.8
2013-01-11;7.1;3.3;10.9;5.28;7.05;2.5;79.99
2013-01-12;5.25;-1.9;12.4;2.1;4.87;5.5;77.22
2013-01-13;4.4;2.7;6.1;4.05;1.8;1.5;88.97
2013-01-14;3.55;1.4;5.7;3.35;2.9;0.5;80.83
2013-01-15;3.8;0.1;7.5;5.23;4.79;3.5;86.22
2013-01-16;1.65;0.7;2.6;3.75;1.19;0.5;85.77
2013-01-17;0.55;-1.3;2.4;3.13;7.22;0;78.37
2013-01-18;0.05;-3.8;3.9;4.23;2.61;0;79.07
2013-01-19;6.65;2;11.3;2.96;2.03;0;99.25
2013-01-20;2.8;-0.2;5.8;7.14;5.51;0;88.51
2013-01-21;4.3;-0.2;8.8;5.78;7.29;0;85.46
2013-01-22;3.25;-2.2;8.7;3.17;6.5;1.5;76.94
2013-01-23;4.35;1.4;7.3;2.48;4.05;0.5;89.25
2013-01-24;3.3;1;5.6;4.24;4.71;0;78.71
2013-01-25;2.8;0.1;5.5;4.34;5.69;0;76.89
2013-01-26;3.15;-2.4;8.7;4.49;2.03;0;80.83
2013-01-27;3.5;-1.1;8.1;3.84;2.37;0;81.25
2013-01-28;8.55;5.6;11.5;5.05;7.17;0.5;87.31
2013-01-29;7.35;0.1;14.6;1.69;7.47;0;83.32
2013-01-30;10.35;1.8;18.9;2.09;9.03;0;84.65
2013-01-31;10.3;3.7;16.9;2.14;7.11;0;88.47
2013-02-01;12.65;8.3;17;0.96;6.99;0;90.24
2013-02-02;6.15;4.3;8;6.23;3.77;1.5;76.28
2013-02-03;3.75;1.1;6.4;2.66;8.82;4;66.18
2013-02-04;7.45;2.3;12.6;2.79;3.49;9;88.88
2013-02-05;10.4;8.5;12.3;3.03;5.57;3.5;84.49
2013-02-06;3.85;1.5;6.2;1.66;4.53;3.5;81.73
2013-02-07;3.75;1.4;6.1;3.54;6.49;3.5;74.59
2013-02-08;1.6;-0.8;4;1.36;3.3;2;74.13
2013-02-09;3.4;0.2;6.6;3.46;7.94;0;78.97
2013-02-10;8;3.7;12.3;3.76;6.11;0;86.9
2013-02-11;5.2;3.1;7.3;4.81;9.01;0;85.04
2013-02-12;5.55;2.4;8.7;5.28;5.96;0;83.24
2013-02-13;6.45;4.4;8.5;2.83;5.11;0;77.11
2013-02-14;8.35;3.9;12.8;1.93;6.08;0.5;83.99
2013-02-15;9.05;6.5;11.6;2.77;10.15;0;81.41
2013-02-16;5.7;-1.9;13.3;2.12;13.8;0;72.09
2013-02-17;5;-0.7;10.7;1.02;13.85;0.5;84.55
2013-02-18;8.15;5.5;10.8;1.76;9.12;0;88.86
2013-02-19;8.85;5;12.7;2.27;14.11;0;81.8
2013-02-20;6.65;-1.4;14.7;1.88;13.06;0;74.17
2013-02-21;5.3;-2.9;13.5;3.05;13.99;0;77.01
2013-02-22;1.45;-3.7;6.6;1.53;15.08;0;69.77
2013-02-23;-2;-3.5;-0.5;5.17;5.08;2.5;66.88
2013-02-24;-0.95;-2.7;0.8;2.13;6.43;0;71.43
2013-02-25;0.6;-1.5;2.7;2.37;9.95;0;76.3
2013-02-26;1;-2.5;4.5;2.86;10.72;0;66.41
2013-02-27;1.45;-5.6;8.5;1.33;13.3;0;70.99
2013-02-28;4.1;-2.5;10.7;1.63;12.57;3;79.56
2013-03-01;6.15;0.1;12.2;2.62;11.21;0;74.98
2013-03-02;4.35;-1.7;10.4;3.14;15.39;0;71.55
2013-03-03;4.75;-3.9;13.4;1.1;15.87;36.5;77.45
2013-03-04;10.8;7;14.6;3.95;15.24;3;89.95
2013-03-05;11.9;10.5;13.3;1.57;8.54;4;93.35
2013-03-06;9.95;9.2;10.7;6.01;4.14;2;95.76
2013-03-07;12.1;8.1;16.1;2.93;15;31.5;92.21
2013-03-08;13.85;9.9;17.8;5.57;14.92;0;82.04
2013-03-09;13.45;8.8;18.1;2.62;14.97;0;84.24
2013-03-10;12.1;3.8;20.4;2.03;15.49;0.5;82.73
2013-03-11;11.75;6.3;17.2;1.73;17.51;0;83.09
2013-03-12;9.25;7.2;11.3;5.83;9.01;0.5;80.39
2013-03-13;0.5;-0.6;1.6;6.61;3.84;0;77.06
2013-03-14;3;-0.6;6.6;1.64;8.05;0;67
