iso-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
2004-01-01;2.5;0.9;4;0.75;2.21156027;0;97
2004-01-02;0.4;0.2;1.9;0.972222222;2.223607646;2.7;92
2004-01-03;-1.9;-2.5;0.2;0.972222222;2.236578789;0.6;71
2004-01-04;-4;-5.4;-2.1;0.666666667;2.25047264;0;68
2004-01-05;-4.5;-7.9;-2.3;1.722222222;2.265287991;0.1;86
2004-01-06;-7.5;-10.6;-4;1.138888889;6.379399675;1.6;73
2004-01-07;-6.4;-12.3;-4.4;0.416666667;2.297677522;0;84
2004-01-08;-7.1;-10.1;-2.4;0.333333333;2.315248423;0.9;92
2004-01-09;-4;-12.6;-0.8;1.138888889;2.333734237;0;97
2004-01-10;-1.3;-2.4;0;0.972222222;2.353132822;1.4;95
2004-01-11;0.4;-1;1.7;0.75;2.373441815;0;93
2004-01-12;0.9;-0.9;2.3;1.527777778;2.59956222;0;94
2004-01-13;5;1.2;8.7;1.527777778;4.27233435;5.1;86
2004-01-14;4.3;1.1;10.5;0.972222222;3.131432429;0.3;87
2004-01-15;2.7;0;4;1.833333333;2.463726056;0;92
2004-01-16;2.9;0.8;5.8;2.111111111;7.674903533;2.4;71
2004-01-17;4.9;2;7.6;1.527777778;2.514250662;0;83
2004-01-18;2.8;-0.5;6.5;0.972222222;2.540844955;5.8;96
2004-01-19;1.5;0.9;3.4;1.527777778;2.568321227;4.6;96
2004-01-20;1.6;0.6;2.8;2.333333333;2.596674555;0.4;93
2004-01-21;-1.2;-2.5;1.7;1.833333333;7.057505286;1.4;73
2004-01-22;-4.8;-5.7;-1.8;1.527777778;2.655990964;0.7;80
2004-01-23;-5.9;-10.5;-2.1;1.527777778;8.662393345;0.2;67
2004-01-24;-4;-8.5;-2.9;1.138888889;2.718747774;0;67
2004-01-25;-3.8;-5.4;-1.9;0.75;2.901288668;0;73
2004-01-26;-4.7;-7.4;0.1;0.972222222;5.429120477;0.5;85
2004-01-27;-2.9;-7.5;-0.5;2.111111111;2.819217539;0;92
2004-01-28;-2.2;-2.6;-1.4;1.138888889;2.854367;0.5;94
2004-01-29;-7.1;-10.4;-0.7;1.138888889;8.775385514;4.5;89
2004-01-30;-4.9;-13;2.4;1.527777778;7.768416518;0;86
2004-01-31;-7.5;-13.5;-0.6;0.75;8.004481539;0;88
2004-02-01;-0.7;-9.5;5.7;1.138888889;7.688723221;0;86
2004-02-02;5.1;-2;7;2.083333333;3.362575371;0;85
2004-02-03;4.5;1;11.2;0.972222222;7.929506885;2.6;87
2004-02-04;6.1;1.2;11.4;1.138888889;3.122748825;3;91
2004-02-05;7.3;2.9;13;0.972222222;4.972529549;0.2;84
2004-02-06;6.5;2.5;14.4;0.75;6.937498054;0;79
2004-02-07;10;0.8;13;4.694444444;8.602138395;0;65
2004-02-08;5.1;3.5;10.7;2.333333333;9.114439143;0;88
2004-02-09;3.5;1.5;8.1;1.833333333;8.018165225;8.1;67
2004-02-10;1;-1;4.3;2.527777778;11.28089346;0.2;70
2004-02-11;0.1;-2.5;4.4;2.527777778;3.427608808;0;79
2004-02-12;-6.5;-8;-2.1;1.833333333;8.628632744;1.2;59
2004-02-13;-5.4;-11.7;-3.4;1.527777778;6.429182357;0.7;77
2004-02-14;-0.5;-4.6;1.7;1.722222222;7.124417321;0.7;90
2004-02-15;2.1;-0.1;6;1.388888889;3.795870477;0;80
2004-02-16;0.8;-1.5;3.7;0.75;4.388897824;0.1;94
2004-02-17;0.4;-1.4;5.2;0.666666667;11.10464077;0.1;85
2004-02-18;2.9;-2.5;9;1.527777778;9.469761917;0;77
2004-02-19;0.3;-0.6;3;1.138888889;4.000550401;0;90
2004-02-20;-2.1;-3.8;2.4;2.083333333;12.85149835;0;63
2004-02-21;-1.4;-8.5;4.1;2.722222222;11.56323583;0;66
2004-02-22;-0.4;-1.5;1.4;2.527777778;3.969336515;0.1;84
2004-02-23;4.3;0;9;2.333333333;4.98162871;2.2;88
2004-02-24;0;-0.7;4.1;0.75;4.074670519;4.5;94
2004-02-25;-0.8;-3;2.2;2.083333333;12.12966564;6.7;87
2004-02-26;1.3;-2.1;3.2;1.833333333;4.181749664;0;93
2004-02-27;2.1;1.5;3.3;0.75;4.235895885;6.9;97
2004-02-28;1.9;-0.2;4;1.527777778;4.790300225;5.3;94
2004-02-29;0.6;-0.7;3.8;2.083333333;4.748394918;8;87
2004-03-01;-0.7;-1.5;0.4;0.972222222;4.400526082;0;81
2004-03-02;0.8;-1.9;3.3;1.527777778;10.08597134;0.4;75
2004-03-03;3;0.5;5.9;2.333333333;4.511905789;0;75
2004-03-04;1.2;-1.1;3.9;1.388888889;10.49274878;0;63
2004-03-05;-1;-1.8;1.2;0.972222222;4.833854074;0;78
2004-03-06;-2.8;-7.5;2;0.75;15.75973964;0.2;66
2004-03-07;1.2;-5.2;6.5;1.527777778;12.28450149;0;69
2004-03-08;0.9;0.3;3.4;1.833333333;4.7948536;4.9;96
2004-03-09;1;0;2.7;0.75;4.852047948;9.8;95
2004-03-10;2;0.4;3.7;0.972222222;5.886831643;2.9;83
2004-03-11;3.9;-1;5.8;1.138888889;4.966873439;0;88
2004-03-12;4.1;1.5;9.3;1.527777778;8.768600854;0;75
2004-03-13;6.2;1.8;11.4;1.833333333;5.636501944;0;78
2004-03-14;8;1.8;14.8;1.527777778;8.153541838;0;77
