iso-date;tavg;tmin;tmax;wind;globrad;precip;relhumid;;;;
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%;;;;
2004-01-01;2.4;0.2;3.9;1.388888889;1.8;0.83;99;;;;
2004-01-02;1.3;0.5;3.9;1.25;1.94;1.07;98;;;;
2004-01-03;-1.9;-2.2;0.5;1.833333333;1.8;1.63;92;;;;
2004-01-04;-4.1;-5;-2;0.75;2.23;2.24;95;;;;
2004-01-05;-5.6;-10.3;-2.8;1.388888889;3.64;1.34;89;;;;
2004-01-06;-6.5;-8.5;-3;2.527777778;2.95;0.84;91;;;;
2004-01-07;-6.4;-12.7;-2.2;0.333333333;3.85;0.1;86;;;;
2004-01-08;-7.3;-10.2;-2.5;0.944444444;2.41;0.52;92;;;;
2004-01-09;-1.9;-11;1.7;1.138888889;3.46;1.71;92;;;;
2004-01-10;-0.1;-0.4;1;0.972222222;2.12;2.59;98;;;;
2004-01-11;1.3;-0.5;2.4;0.75;2.16;0.22;97;;;;
2004-01-12;2.8;-0.7;4.8;0.972222222;2.88;0.16;90;;;;
2004-01-13;8.8;1.5;11.7;1.527777778;6.37;2.06;81;;;;
2004-01-14;7.7;5.2;12.3;2.083333333;0.76;4.84;89;;;;
2004-01-15;1.8;0;5.7;2.527777778;0.22;20.46;97;;;;
2004-01-16;3.9;1.4;8.2;2.333333333;7.96;0.1;77;;;;
2004-01-17;8.4;3;13;2.722222222;4.43;1.02;69;;;;
2004-01-18;4.2;1.9;8.5;0.972222222;1.69;4.68;96;;;;
2004-01-19;2.1;1.6;4.5;1.388888889;1.22;4.63;99;;;;
2004-01-20;2.8;1.4;4.5;0.694444444;2.7;10.04;97;;;;
2004-01-21;-1.3;-2;2.7;1.833333333;4.14;0.32;90;;;;
2004-01-22;-5.5;-7.2;-1.5;2.916666667;3.89;0.78;94;;;;
2004-01-23;-5.6;-9.2;-3.7;3.111111111;3.71;0.1;83;;;;
2004-01-24;-5.1;-6.7;-4;2.916666667;3.02;0.63;90;;;;
2004-01-25;-3.4;-4.6;-1.9;0.75;4.18;0.81;86;;;;
