iso-date;tavg;tmin;tmax;wind;globrad;precip;relhumid;;;;
2004-01-26;-4.3;-7.4;0.7;0.666666667;8.53;0.04;94;;;;
2004-01-27;-1.5;-6;0.3;2;2.56;3.1;95;;;;
2004-01-28;-1.8;-2.8;0.6;1.388888889;1.73;11.23;97;;;;
2004-01-29;-6;-12.2;-0.8;0.75;5.15;1.21;93;;;;
2004-01-30;-6.7;-16.6;-2.4;0.75;5.65;0.02;91;;;;
2004-01-31;-5.7;-16.1;1.8;0.75;6.62;0.01;88;;;;
2004-02-01;-2.1;-13.2;8.6;0.694444444;4.57;0;80;;;;
2004-02-02;3.2;-3.1;9.4;1.388888889;5.51;0.99;81;;;;
2004-02-03;3.8;2;5.5;2;2.63;2.95;95;;;;
2004-02-04;6.9;3;8.7;1.527777778;2.95;1.71;96;;;;
2004-02-05;12.1;6;18.1;0.972222222;9.94;0.02;79;;;;
2004-02-06;10.3;4.4;18.4;0.972222222;10.15;0.02;71;;;;
2004-02-07;9.5;3.9;14.6;1.833333333;10.3;0.73;71;;;;
2004-02-08;6.4;5.3;10.2;1.138888889;4.5;2.04;88;;;;
2004-02-09;4.5;2.8;9.5;2.722222222;7.13;3.34;76;;;;
2004-02-10;0.7;-0.8;4.5;2.722222222;10.22;0.05;76;;;;
2004-02-11;2.4;-1.2;5.6;2.944444444;4.18;2.88;77;;;;
2004-02-12;-6.2;-7.8;2.7;2.333333333;9.11;0.22;65;;;;
2004-02-13;-5.4;-11;-2.7;1.833333333;10.19;0.08;76;;;;
2004-02-14;-2.1;-4.7;-0.7;0.972222222;4.64;1.06;92;;;;
2004-02-15;1;-1.8;4.8;2.333333333;3.42;2.87;93;;;;
2004-02-16;-0.2;-2.1;2;1.888888889;3.82;0.86;94;;;;
2004-02-17;1.3;-2.2;5.4;0.972222222;6.34;0.05;85;;;;
2004-02-18;2.2;-4.2;7.9;0.333333333;11.92;0;74;;;;
2004-02-19;2.4;-2.8;6.6;0.75;7.06;0.32;84;;;;
2004-02-20;-0.9;-2.9;4.3;1.833333333;9.65;0.35;79;;;;
2004-02-21;0.1;-7.7;5.6;3.222222222;13.61;0;65;;;;
2004-02-22;2.1;0.4;3;4.527777778;4;1.47;81;;;;
2004-02-23;8.9;2.8;12.6;2.944444444;9.29;0.79;80;;;;
2004-02-24;1.3;0.6;9.5;1.527777778;3.92;1.85;95;;;;
2004-02-25;0.8;-1;5.3;2;13.9;2.08;78;;;;
2004-02-26;3.8;-0.5;5.5;1.388888889;5.76;11.06;92;;;;
2004-02-27;4;3.2;9.2;0.75;8.03;2.66;94;;;;
2004-02-28;5.8;1.8;9.2;1.833333333;8.89;5.84;90;;;;
2004-02-29;1.9;1.2;7.2;2.333333333;9.43;2.22;95;;;;
2004-03-01;-1.2;-1.6;1.5;1.138888889;2.23;4.37;95;;;;
2004-03-02;0.1;-1.6;2.5;1.527777778;5.4;0.13;88;;;;
2004-03-03;1;-2.2;3.5;1.833333333;6.52;0.08;86;;;;
2004-03-04;0.2;-0.4;3.3;1.527777778;9.11;0.05;79;;;;
2004-03-05;-1.1;-1.6;1.2;0.972222222;6.98;0.79;93;;;;
2004-03-06;-2.5;-6.7;2;0.75;14.8;0.04;81;;;;
2004-03-07;3.8;-3.4;8.8;2.333333333;13.82;0.02;64;;;;
2004-03-08;3.9;1.9;8.2;3.888888889;4.32;4.84;81;;;;
2004-03-09;1.2;0.6;3;1.722222222;4.36;2.66;95;;;;
2004-03-10;2.1;0.1;3.6;0.944444444;8.14;0.51;89;;;;
2004-03-11;4.3;0;8.4;2.722222222;10.98;0.01;78;;;;
2004-03-12;5.2;2.8;8.8;4.138888889;6.91;0.08;74;;;;
2004-03-13;7.8;4;13.5;3.722222222;13.61;0;67;;;;
2004-03-14;9;4;17;2.333333333;15.05;0;70;;;;
2004-03-15;10.3;3.8;17.2;0.944444444;14.4;0;71;;;;
2004-03-16;11;4.5;18.6;1.388888889;15.91;0;74;;;;
2004-03-17;13.3;6.2;21.5;1.527777778;16.38;0;72;;;;
2004-03-18;14.8;8.2;22.6;1.138888889;19.3;0.01;64;;;;
2004-03-19;15.9;5.7;24.4;0.972222222;15.37;0;59;;;;
2004-03-20;17.2;12;22.9;1.388888889;16.78;0;47;;;;
2004-03-21;16.7;8.4;24.5;1.138888889;19.26;0;56;;;;
2004-03-22;13;10.2;21;1.388888889;12.67;0.27;63;;;;
2004-03-23;15.9;7.9;21.5;3.277777778;8.93;0.43;64;;;;
2004-03-24;10.4;8.1;17.5;3.277777778;8.03;1.1;74;;;;
2004-03-25;8.2;5.6;15.6;2.777777778;10.44;0.43;73;;;;
2004-03-26;5.7;4.2;10.4;1.388888889;8.6;2.31;80;;;;
2004-03-27;4.2;2.5;6.6;1.833333333;6.7;3.18;90;;;;
2004-03-28;4.5;3.2;7.9;0.972222222;8.1;0.05;75;;;;
2004-03-29;5.8;1.6;11.5;0.972222222;16.67;0;68;;;;
2004-03-30;8.1;-0.4;13.5;1.388888889;21.6;0;67;;;;
2004-03-31;12.8;6.3;19.6;2.722222222;21.17;0.01;57;;;;
2004-04-01;14.3;7.3;20.3;1.527777778;15.62;0.04;52;;;;
2004-04-02;13.6;6.7;20.6;2.083333333;18.97;0.01;59;;;;
2004-04-03;13.1;7.3;20;2.944444444;15.95;0;47;;;;
2004-04-04;14.7;6.4;20.3;1.527777778;19.51;0.01;48;;;;
2004-04-05;12.9;9.9;20.5;2.333333333;14.29;3.82;74;;;;
2004-04-06;12.3;8;17.9;1.388888889;14.33;1.5;81;;;;
2004-04-07;10;8.2;15.6;2.25;11.38;5.77;86;;;;
2004-04-08;9.3;4.8;14.3;1.25;15.3;2.35;74;;;;
2004-04-09;9.4;4.6;13;1.527777778;8.17;5.98;90;;;;
2004-04-10;9.9;8.8;10.9;0.416666667;4.46;4.18;98;;;;
2004-04-11;9.9;9.2;11.4;0.972222222;6.59;6.78;98;;;;
2004-04-12;9;8.4;10;0.972222222;4.5;7.79;94;;;;
2004-04-13;8.6;8;10;1.388888889;6.91;11.2;94;;;;
2004-04-14;8.5;4.4;11;1.527777778;11.74;0.9;88;;;;
2004-04-15;10.8;7.5;16.2;1.527777778;14.08;0.41;75;;;;
2004-04-16;14.4;6.6;20.1;1.833333333;21.38;1.03;59;;;;
2004-04-17;14.1;10.6;18.6;1.138888889;12.74;1.36;78;;;;
2004-04-18;13;10.7;19.2;2.333333333;16.88;0.64;68;;;;
2004-04-19;13.7;9.4;18.6;2.916666667;13.9;1.23;71;;;;
2004-04-20;12.5;10;17.3;3.277777778;14.29;2.85;72;;;;
2004-04-21;13.7;10.1;21.3;0.972222222;15.95;0.49;78;;;;
2004-04-22;16.6;9.2;22.7;1.888888889;20.16;0.71;71;;;;
2004-04-23;15.9;10.1;23.4;1.388888889;20.41;0.22;76;;;;
2004-04-24;14.8;8.8;24.5;0.944444444;14.72;7.85;75;;;;
2004-04-25;10.8;9.6;11.9;1.833333333;4.61;8.84;98;;;;
2004-04-26;12.4;10.5;16;1.527777778;9.04;1.15;88;;;;
2004-04-27;13.1;8.1;19;0.972222222;19.66;0.13;73;;;;
2004-04-28;15.2;7.1;21.2;1.388888889;26.1;0.02;64;;;;
2004-04-29;17.9;8.3;24.5;1.25;25.63;0.01;67;;;;
2004-04-30;16.9;14.3;24.1;0.944444444;15.23;0.54;75;;;;
2004-05-01;18;12.1;25.1;0.75;18.04;0.14;71;;;;
2004-05-02;17.7;13.9;23.7;1.138888889;16.63;3.17;73;;;;
2004-05-03;18.5;9.9;24.6;0.972222222;26.75;0.19;69;;;;
2004-05-04;18.1;13.8;24;2.333333333;9.29;3.56;73;;;;
2004-05-05;17.6;13.3;24.2;2.527777778;12.35;1.16;66;;;;
2004-05-06;16.7;13;22;2.333333333;12.24;4.66;69;;;;
2004-05-07;13.1;10.4;19.5;2.333333333;15.73;3.27;79;;;;
2004-05-08;10.7;8;16;1.138888889;7.99;3.43;92;;;;
2004-05-09;14.4;6.7;19.5;1.138888889;20.66;0.65;73;;;;
2004-05-10;12.9;7.8;18;1.527777778;12.89;2.79;81;;;;
2004-05-11;12.8;8.5;19.4;1.138888889;20.12;0.47;85;;;;
2004-05-12;17.4;9.5;22.2;0.972222222;20.92;0.04;71;;;;
2004-05-13;14.4;12.8;17.3;2.722222222;8.64;8;87;;;;
2004-05-14;13.5;11.4;17;2.333333333;4.25;2.45;80;;;;
2004-05-15;12.3;8.8;16.9;1.138888889;17.64;0.33;71;;;;
2004-05-16;11.1;9.1;13.2;1.527777778;6.84;7.82;96;;;;
2004-05-17;10.7;7.4;15.7;1.722222222;12.28;1.44;86;;;;
2004-05-18;14;4.4;19.7;1.527777778;25.02;0.04;69;;;;
2004-05-19;17.7;8.9;23.4;1.388888889;21.6;0.01;68;;;;
2004-05-20;20.1;11.8;25.8;1.527777778;25.92;0.01;63;;;;
2004-05-21;21.5;11.7;29.2;0.416666667;24.8;1.31;64;;;;
2004-05-22;18.3;15.1;25.2;1.222222222;15.7;8.08;73;;;;
2004-05-23;8.8;8;15.2;1.527777778;3.1;6.58;93;;;;
2004-05-24;9.2;5.3;14.3;2.333333333;18.29;0.11;80;;;;
2004-05-25;12.2;5.2;19.4;1.138888889;23.9;0;71;;;;
2004-05-26;15.4;5.8;21.4;0.972222222;29.84;0;62;;;;
2004-05-27;19.5;8.3;26.3;0.972222222;27.04;0;58;;;;
2004-05-28;20.8;12.2;26.3;2.111111111;21.56;0.77;55;;;;
2004-05-29;18.3;13.6;23.2;1.833333333;15.05;0.53;66;;;;
2004-05-30;16.4;10.6;22.8;1.527777778;15.23;2.49;83;;;;
2004-05-31;18.3;13.1;23.5;0.972222222;20.84;0.75;79;;;;
2004-06-01;19.4;13.1;26.2;0.972222222;19.48;3.17;76;;;;
2004-06-02;17.6;14.4;23.8;1.388888889;13.36;7.13;84;;;;
2004-06-03;17.1;15;20.4;1.722222222;9.36;20.36;91;;;;
2004-06-04;14;13.6;17;2.333333333;3.6;8.8;88;;;;
2004-06-05;15.7;13;18.5;2;7.45;2.54;85;;;;
2004-06-06;16;13.8;20.4;0.75;9;5.04;88;;;;
2004-06-07;16.8;14.2;21.6;1.527777778;12.42;10.55;89;;;;
2004-06-08;19.8;13.5;24.8;1.138888889;23.51;2.02;77;;;;
2004-06-09;21.9;15;27.6;2.083333333;25.6;1.56;76;;;;
2004-06-10;21.6;16;26.1;1.388888889;28.58;0.87;77;;;;
2004-06-11;25.5;16.6;30.4;1.25;28.55;0.18;74;;;;
2004-06-12;24.1;19;29.2;0.694444444;29.88;0.24;76;;;;
2004-06-13;17.5;16.3;23;1.527777778;8.35;2.31;89;;;;
2004-06-14;19;15.6;24.1;1.138888889;11.52;0.82;84;;;;
2004-06-15;21.5;14.2;26.4;0.944444444;24.55;0;72;;;;
2004-06-16;20.4;15.8;26.4;1.138888889;18.97;3.06;74;;;;
2004-06-17;18.3;12.1;23.1;0.972222222;28.98;1.36;68;;;;
2004-06-18;20.9;12.7;25.4;0.972222222;22.25;0.32;69;;;;
2004-06-19;22.8;14.6;27.8;0.972222222;28.8;0.01;67;;;;
2004-06-20;22.1;16.8;29.6;2.333333333;23.62;2.04;70;;;;
2004-06-21;21.7;15.9;25.7;0.75;20.12;3.92;75;;;;
2004-06-22;20.8;17.4;25.1;0.416666667;17.89;1.35;75;;;;
2004-06-23;21.5;14.6;27.9;0.694444444;28.01;0.01;72;;;;
2004-06-24;22.3;17.4;27.2;1.388888889;20.12;0.15;76;;;;
2004-06-25;20.2;15.1;29.9;1.25;20.56;9.55;77;;;;
2004-06-26;19.1;12;24.2;0.75;26.64;0.35;73;;;;
2004-06-27;21.9;12.7;27;0.75;28.22;0;62;;;;
2004-06-28;24.5;14.4;30.6;0.972222222;26.53;0.08;62;;;;
2004-06-29;17.7;16.2;23.8;0.972222222;9.29;5.66;90;;;;
2004-06-30;19.7;13;24.6;0.75;26.39;0.01;73;;;;
2004-07-01;23.6;12.6;29.5;1.833333333;31.28;0;57;;;;
2004-07-02;20.8;17.2;24.8;0.972222222;21.24;2.03;76;;;;
2004-07-03;18.8;14.1;24.1;0.972222222;18.61;6.78;79;;;;
2004-07-04;22.2;14;27.2;0.75;30.6;0;65;;;;
2004-07-05;24.4;15.6;30.4;0.75;28.37;0;67;;;;
2004-07-06;27.2;17.3;33.6;0.944444444;29.05;0;63;;;;
2004-07-07;23.2;17.6;27.8;0.972222222;24.84;0.01;70;;;;
2004-07-08;28.3;18.6;35.9;1.388888889;27.68;0;65;;;;
2004-07-09;31.4;20.1;38.1;1.527777778;21.89;0.21;56;;;;
2004-07-10;24.9;19.6;31.2;1.138888889;28.44;0.31;70;;;;
2004-07-11;21.5;15.7;25.4;1.138888889;24.95;0.31;71;;;;
2004-07-12;17.4;15;22;0.972222222;10.37;5.52;79;;;;
2004-07-13;17;14.5;23.4;2.083333333;16.02;4.33;76;;;;
2004-07-14;16;11.9;21.6;2.527777778;12.82;0.25;72;;;;
2004-07-15;17.3;10.8;21;1.388888889;12.38;0.02;72;;;;
2004-07-16;20.7;14.4;25.3;0.972222222;14.94;0.03;74;;;;
2004-07-17;24.1;14.8;29.5;0.75;27.97;0;60;;;;
2004-07-18;26.4;16.9;33.6;1.138888889;28.76;0;58;;;;
2004-07-19;27.1;19.1;34.6;0.75;28.33;0;54;;;;
2004-07-20;27.8;20;34.8;1.138888889;27.29;0.01;60;;;;
2004-07-21;29.2;19.9;35.6;0.972222222;27.07;0;55;;;;
2004-07-22;27.3;20.3;33.9;1.527777778;23.83;0.01;62;;;;
2004-07-23;27.5;20.5;33.9;1.527777778;24.77;0;63;;;;
2004-07-24;24.8;20.1;30.4;1.833333333;23.08;0.61;69;;;;
2004-07-25;23.2;18.7;31.2;0.75;19.55;3.06;75;;;;
2004-07-26;20.7;18.9;26.9;0.75;11.7;10.29;89;;;;
2004-07-27;17.5;16;19.7;2.111111111;2.38;28.81;97;;;;
2004-07-28;15.7;15;18.3;1.833333333;6.37;2.72;90;;;;
2004-07-29;14.6;13.8;15.6;0.972222222;4.03;5.47;96;;;;
2004-07-30;16.4;12.4;19;0.972222222;8.28;5.49;98;;;;
2004-07-31;18.2;14.5;22.8;2;7.63;16.73;95;;;;
2004-08-01;22.2;15.4;27.1;0.972222222;26.17;0.02;74;;;;
2004-08-02;21.8;16.8;27.6;1.388888889;22.39;0.16;78;;;;
2004-08-03;23.1;17.4;28;0.75;23.15;0.03;72;;;;
2004-08-04;22.6;17.8;27.9;0.972222222;22.21;0.74;79;;;;
2004-08-05;22.7;15.9;28.3;1.25;22.03;0.07;77;;;;
2004-08-06;22.8;17.5;28.4;1.25;15.84;4.77;77;;;;
2004-08-07;22.9;17;28.1;1.25;19.84;0.48;78;;;;
2004-08-08;20.7;17.2;24.4;0.972222222;12.28;8.23;87;;;;
2004-08-09;20;17;25.7;0.972222222;10.91;4.05;93;;;;
2004-08-10;21;17.2;26;1.833333333;16.34;4.55;84;;;;
2004-08-11;23.2;16.4;29.4;0.416666667;24.41;0.01;73;;;;
2004-08-12;24.5;16.4;31;0.75;24.95;0;69;;;;
2004-08-13;24.6;20.6;30.4;1.138888889;18.83;3.34;69;;;;
2004-08-14;17.8;16.7;23;1.138888889;7.06;4.59;87;;;;
2004-08-15;18.4;14.3;22.6;0.972222222;12.82;0.57;86;;;;
2004-08-16;19.5;11.6;25.6;0.75;19.44;0.17;79;;;;
2004-08-17;21.7;13.5;27.3;1.138888889;25.09;0;63;;;;
2004-08-18;24.8;14.6;31.4;0.694444444;25.38;0;61;;;;
2004-08-19;26.7;18;33.5;1.138888889;23.83;0;62;;;;
2004-08-20;27.7;18.7;34.4;1.527777778;23.94;0;59;;;;
2004-08-21;22;18.6;30.3;0.972222222;23.36;3.85;81;;;;
2004-08-22;16.1;15;19.7;2.333333333;6.62;11.39;94;;;;
2004-08-23;19.2;12.7;24.5;0.694444444;21.35;0.02;76;;;;
2004-08-24;20.7;12.8;27.1;0.972222222;23.62;0;72;;;;
2004-08-25;23.3;16.3;30;1.527777778;19.76;0.02;73;;;;
2004-08-26;22.3;18;32.2;0.972222222;20.16;5.24;78;;;;
2004-08-27;17.1;15;20.8;2.333333333;9.9;5.72;87;;;;
2004-08-28;18.7;12.2;25;1.388888889;20.92;0.03;77;;;;
2004-08-29;20.8;12.6;26.6;0.75;22.36;0;73;;;;
2004-08-30;22.1;14.2;29.5;0.333333333;22.1;0.12;73;;;;
2004-08-31;22.5;15.4;29.8;0.75;20.92;0.04;76;;;;
2004-09-01;18.1;15.2;23.2;0.972222222;14.18;0.75;79;;;;
2004-09-02;19.6;13.6;25.4;0.75;12.6;0;81;;;;
2004-09-03;21.3;14.7;26.5;0.75;18.07;0;65;;;;
2004-09-04;20.2;12.9;26;0.972222222;16.16;0;76;;;;
2004-09-05;19.2;12.6;25.2;0.694444444;17.68;0.01;78;;;;
2004-09-06;18.5;13.7;25.2;1.833333333;17.35;0;70;;;;
2004-09-07;18.5;11.1;24;1.388888889;22.75;0;59;;;;
2004-09-08;19.2;9.9;26.2;2.333333333;20.41;1.08;64;;;;
2004-09-09;14;11.3;20.5;1.25;16.31;0.11;64;;;;
2004-09-10;12;4.5;18.4;1.222222222;20.05;0;67;;;;
2004-09-11;14;4.7;21.7;0.694444444;21.38;0;63;;;;
2004-09-12;19.3;6;28.3;0.694444444;21.35;0;56;;;;
2004-09-13;18.8;13.9;24.7;0.944444444;12.6;0.06;77;;;;
2004-09-14;20.7;13.5;27.3;0.75;17.42;0;79;;;;
2004-09-15;23.3;14.9;32;0.75;17.57;0.41;66;;;;
2004-09-16;16.7;15.8;22.2;1.722222222;6.62;0.65;94;;;;
2004-09-17;15.9;12.8;20.8;1.388888889;9.72;0.77;66;;;;
2004-09-18;14.4;9;20.6;0.972222222;8.06;0.39;81;;;;
2004-09-19;16.3;10.8;23.6;1.527777778;15.41;0.13;77;;;;
2004-09-20;18.3;12;24.9;0.416666667;12.82;0.14;79;;;;
2004-09-21;20.4;12.6;27.5;1.222222222;15.95;0;67;;;;
2004-09-22;12.5;9.9;20.6;1.138888889;2.66;0.21;84;;;;
2004-09-23;18.6;7.7;25.1;2.083333333;16.31;0;67;;;;
2004-09-24;12;10.2;19.6;2.083333333;2.81;5.13;93;;;;
2004-09-25;11.6;9.5;12.8;1.138888889;2.81;6.91;99;;;;
2004-09-26;11.7;10.9;12.7;1.138888889;2.3;12.04;99;;;;
2004-09-27;12.2;11.4;13.2;1.138888889;3.82;5.47;97;;;;
2004-09-28;14.3;9.6;18.8;0.694444444;8.1;0.04;81;;;;
2004-09-29;14.1;9.3;19.2;0.694444444;9.5;0.03;83;;;;
2004-09-30;16.1;7.9;22.6;0.944444444;14.62;0;79;;;;
2004-10-01;16.5;9.6;22.2;0.333333333;13.68;0.17;84;;;;
2004-10-02;14.5;12.8;19.4;0.75;9.11;5.84;92;;;;
2004-10-03;13.8;7.3;19;0.222222222;9.72;0.08;95;;;;
2004-10-04;14.4;10.8;20.3;0.416666667;13.39;0;83;;;;
2004-10-05;15;8.6;21.8;1.527777778;16.63;0;76;;;;
2004-10-06;16.4;11.7;22.1;2.916666667;16.38;0;60;;;;
2004-10-07;15.5;10.4;22.8;0.972222222;16.31;0;64;;;;
2004-10-08;16.6;13.7;22;0.222222222;10.51;0;72;;;;
2004-10-09;17.3;10;24.5;1.222222222;13.79;0.02;83;;;;
2004-10-10;14.9;11.8;21.6;2.25;11.3;9.79;90;;;;
2004-10-11;9.3;8.3;12.8;1.833333333;4.18;9.02;85;;;;
2004-10-12;7.2;3.7;9.5;2.722222222;2.56;0.46;79;;;;
2004-10-13;7;5;8;4.138888889;3.28;1.37;75;;;;
2004-10-14;8.4;7.3;9.3;3.222222222;2.23;2.2;83;;;;
2004-10-15;12.5;9.3;15.8;2.083333333;5.15;0.47;83;;;;
2004-10-16;13.1;11.6;15.3;3.277777778;3.38;3.08;91;;;;
2004-10-17;9.7;5.6;20.4;1.138888889;5.11;6.56;92;;;;
2004-10-18;12.9;3;20.7;0.75;10.33;0.05;74;;;;
2004-10-19;15.6;8.8;20;0.75;6.52;0.22;77;;;;
2004-10-20;15.9;12.5;20.9;1.25;6.08;0.76;86;;;;
2004-10-21;15.9;11.6;20.4;0.972222222;4.03;0.71;94;;;;
2004-10-22;15.4;13.5;19.5;0.75;9.36;0.17;95;;;;
2004-10-23;15.6;12.1;19.5;1.222222222;6.19;5.07;92;;;;
2004-10-24;15.2;9;22;0.75;11.09;0.02;88;;;;
2004-10-25;13.8;8.7;19.4;0.333333333;12.2;0;95;;;;
2004-10-26;17;8.9;24.6;0.972222222;10.91;0;78;;;;
2004-10-27;17.4;14.8;23.2;0.972222222;12.02;0;73;;;;
2004-10-28;18.7;11.3;25;0.972222222;10.76;0;67;;;;
2004-10-29;18.7;14.8;24.8;0.75;10.19;0;68;;;;
2004-10-30;19.1;12.6;25.7;0.972222222;5.54;0.02;67;;;;
2004-10-31;20.6;12.4;26.6;0.75;5.58;0.01;63;;;;
2004-11-01;17;13.2;23.1;0.333333333;6.3;0;82;;;;
2004-11-02;14.5;12.9;18;0.694444444;6.41;0;95;;;;
2004-11-03;13.6;10.1;19;1.833333333;6.77;0.06;88;;;;
2004-11-04;12.1;9.6;17.3;3.222222222;9.72;0.01;70;;;;
2004-11-05;10.3;5.4;16.6;1.722222222;10.44;0;75;;;;
2004-11-06;9.2;6.4;12.6;0.972222222;2.81;0.05;77;;;;
2004-11-07;6.6;3.9;8.8;0.333333333;2.05;2.52;86;;;;
2004-11-08;4;3.1;6.2;0.972222222;0.32;35.84;96;;;;
2004-11-09;5.8;1;11.6;1.138888889;7.49;8.04;87;;;;
2004-11-10;9.8;2.1;15.8;2.333333333;8.42;0.01;82;;;;
2004-11-11;13.1;9.5;17.3;2.916666667;7.49;0.23;79;;;;
2004-11-12;11.2;9.2;15.5;0.944444444;3.96;1.05;91;;;;
2004-11-13;11;6.4;21;2.333333333;5;3.77;88;;;;
2004-11-14;2.6;1;6.8;4.138888889;0.25;43.19;98;;;;
2004-11-15;1.9;0;3;2.527777778;1.73;6.03;99;;;;
2004-11-16;2.7;2.1;3.4;2.111111111;1.33;3.16;97;;;;
2004-11-17;5.8;2.8;9.9;1.527777778;5.08;0.07;85;;;;
2004-11-18;9;1.8;16.4;1.138888889;8.5;0;76;;;;
2004-11-19;6.6;2.5;14.6;2.333333333;2.45;6.97;79;;;;
2004-11-20;1.3;-1.1;5;2.083333333;5.47;0.04;86;;;;
2004-11-21;0.4;-1;4.8;2.888888889;3.82;0.66;85;;;;
2004-11-22;3.7;-3.2;6.7;0.972222222;6.08;0.07;66;;;;
2004-11-23;9;2;14.1;1.833333333;5.22;5.34;78;;;;
2004-11-24;1.8;0.6;9.4;3.416666667;5.83;0.29;74;;;;
2004-11-25;-0.4;-1.8;3;1.388888889;5.58;0.08;84;;;;
2004-11-26;1.9;-4.8;8.6;0.333333333;7.24;0;73;;;;
2004-11-27;1.6;-2.2;4.9;0.694444444;1.8;0.42;85;;;;
2004-11-28;5.4;0.7;10.3;1.388888889;6.91;0.11;88;;;;
2004-11-29;8.2;-0.6;14.3;1.138888889;4.46;0.03;79;;;;
2004-11-30;8.3;5.4;12.7;1.138888889;3.02;0.07;86;;;;
2004-12-01;11;7.2;14.5;3.222222222;4.32;2.42;76;;;;
2004-12-02;14.3;9.5;17.4;2.111111111;3.24;1.89;78;;;;
2004-12-03;10.4;9;16.9;0.75;1.87;6.12;92;;;;
2004-12-04;7;4.6;9.8;1.138888889;2.63;0.81;95;;;;
2004-12-05;4.7;3.2;8.9;1.138888889;3.85;0.03;93;;;;
2004-12-06;2.9;1.6;4.1;2.25;0.61;3.16;98;;;;
2004-12-07;1.5;-0.1;3.1;0.972222222;5.87;0.05;99;;;;
2004-12-08;0.5;-0.5;2.3;0.75;3.53;0.04;99;;;;
2004-12-09;-0.8;-1;1;0.75;1.69;0.14;97;;;;
2004-12-10;-0.2;-1;0.4;0.333333333;1.62;0.05;93;;;;
2004-12-11;-0.1;-0.4;0.5;0.333333333;2.66;0.03;91;;;;
2004-12-12;-1.1;-1.6;0;0.416666667;3.92;0.03;92;;;;
2004-12-13;-1.4;-1.9;-1.1;0.75;1.8;0.11;96;;;;
2004-12-14;-1.2;-1.6;-0.7;0.75;1.55;0.16;92;;;;
2004-12-15;-0.6;-1.1;0;0.75;1.8;0.01;87;;;;
2004-12-16;-1.3;-1.8;0.2;0.972222222;3.17;0.02;92;;;;
2004-12-17;4.1;-4.9;8.4;2;3.78;1.71;86;;;;
2004-12-18;4.9;3.6;7.5;2.333333333;0.83;17.57;95;;;;
2004-12-19;1.3;-0.2;5.3;1.138888889;6.77;0.39;85;;;;
2004-12-20;1;-0.9;2.6;1.388888889;2.52;0.25;95;;;;
2004-12-21;-2.1;-4.2;0.9;0.694444444;2.56;0.56;97;;;;
2004-12-22;0.5;-1.3;2.2;1.833333333;2.52;0.14;84;;;;
2004-12-23;0.1;-2.2;3;1.388888889;4.64;0.05;85;;;;
2004-12-24;4.8;-1;11;0.972222222;6.44;0.01;72;;;;
2004-12-25;5.5;-1.3;12.2;0.75;6.52;0;72;;;;
2004-12-26;9.8;3.5;12.4;4.694444444;3.56;0.25;67;;;;
2004-12-27;10.8;6.5;15.7;1.833333333;7.09;0.54;70;;;;
2004-12-28;2.4;1;10.6;1.138888889;1.51;1.7;96;;;;
2004-12-29;3.2;0;4;1.722222222;0.83;3.9;97;;;;
2004-12-30;2.7;1.5;5.3;1.833333333;2.48;0.9;87;;;;
2004-12-31;2;0.4;3.6;0.416666667;2.3;0.04;95;;;;
2005-01-01;3.1;0.2;5.9;1.388888889;3.89;0.87;91;;;;
