iso-date;tavg;tmin;tmax;wind;globrad;precip;relhumid
;C_deg;C_deg;C_deg;m/s;MJ m-2 d-1;mm;%
2004-01-01;2.6;2.1;4.2;1.138888889;2.21156027;0.2;99
2004-01-02;0.9;0.3;2.3;1.138888889;2.223607646;0.6;95
2004-01-03;-1.6;-2;0.5;1.527777778;2.236578789;0;81
2004-01-04;-4.2;-4.5;-1.7;0.972222222;2.25047264;0;90
2004-01-05;-4.9;-10.4;-1.7;0.944444444;3.186416516;0.7;86
2004-01-06;-6.7;-9.2;-3.1;1.833333333;2.743743362;0.7;82
2004-01-07;-5.3;-10.4;-3;0.75;2.430533103;0;80
2004-01-08;-6.4;-9.2;-2.5;0.972222222;2.315248423;0.1;89
2004-01-09;-2;-10.3;0.3;1.833333333;2.333734237;0;89
2004-01-10;-0.1;-0.6;0.8;0.944444444;2.353132822;3.1;99
2004-01-11;1.1;-0.4;2.6;1.138888889;2.373441815;0;95
2004-01-12;1.9;-0.8;4.8;1.527777778;2.531261018;0;89
2004-01-13;8.1;2.1;10.7;0.972222222;5.303197672;0.5;75
2004-01-14;6.4;4;14;1.972222222;2.439803979;0.1;86
2004-01-15;3;0.3;4.6;2.333333333;2.463726056;1.1;94
2004-01-16;4;0.5;8.8;1.833333333;7.744989487;19.3;69
2004-01-17;8.5;3;11.8;1.527777778;2.514250662;0;64
2004-01-18;3.6;0.8;9.2;1.527777778;2.540844955;1.1;92
2004-01-19;2.1;1.9;3.8;0.694444444;2.568321227;6.1;98
2004-01-20;2.6;1;3.8;1.527777778;2.596674555;4.2;94
2004-01-21;-0.9;-2.4;2.8;1.833333333;6.766908197;4.6;83
2004-01-22;-5.2;-8.2;-1.3;2.333333333;4.266468904;0;82
2004-01-23;-6.4;-10.7;-3.1;2.083333333;5.711553396;0.3;80
2004-01-24;-4.7;-8.7;-3.7;1.833333333;2.718747774;0;82
2004-01-25;-3.3;-4.4;-1.6;0.694444444;2.976232898;0;82
2004-01-26;-4;-7.1;0.1;0.944444444;7.015657181;0;87
2004-01-27;-3.2;-6;-1.2;2.083333333;2.819217539;0;91
2004-01-28;-2;-2.9;-0.9;1.972222222;2.854367;4.3;95
2004-01-29;-8.8;-13;-0.1;0.972222222;5.445684576;6.4;89
2004-01-30;-6.1;-18.3;-1.2;0.972222222;7.768416518;0;88
2004-01-31;-5.8;-13.7;0.1;1.527777778;7.768240719;0;84
2004-02-01;-0.4;-9;7;1.138888889;8.165233616;0;79
2004-02-02;3;-1.8;7.1;0.972222222;4.884469089;0;84
2004-02-03;4;1.7;8.2;1.388888889;6.071328124;2.9;96
2004-02-04;6.3;2.9;10.3;1.527777778;3.122748825;2.8;92
2004-02-05;10.7;3.7;17.2;1.833333333;9.740049845;0.4;75
2004-02-06;9.7;4.4;17.6;0.972222222;8.347059805;0;75
2004-02-07;9.3;1.6;13.8;2.333333333;8.183937964;0;73
2004-02-08;8.1;5.6;10.5;1.527777778;7.595737705;6.4;79
2004-02-09;3.7;1.9;9.2;2.722222222;7.167048719;1;74
2004-02-10;0.5;-1.2;4;2.722222222;10.76574705;0.2;77
2004-02-11;1.3;-1.5;6;3.694444444;3.427608808;0;75
2004-02-12;-6;-8.3;-0.5;2.944444444;10.55073985;0.2;68
2004-02-13;-5.7;-12;-3.1;1.527777778;7.398638583;0;80
2004-02-14;-0.6;-4.4;1.3;1.388888889;6.324304858;1.2;90
2004-02-15;1.7;0.2;5.7;1.833333333;5.768722639;0.2;85
2004-02-16;-0.5;-3;1.6;0.75;3.665272898;0.2;94
2004-02-17;1.2;-1.9;6.5;1.388888889;10.55723061;0.5;85
2004-02-18;1.9;-4.4;8.1;0.972222222;12.04633371;0;80
2004-02-19;1.8;-1.3;5.7;0.972222222;5.485492605;0;90
2004-02-20;-1.4;-3.4;3.5;1.527777778;13.03869838;0;71
2004-02-21;-1;-8;4.2;3.694444444;11.56323583;0;72
2004-02-22;1.5;-0.7;2.1;4.333333333;3.969336515;0.6;80
2004-02-23;7.4;2.1;11.9;2.722222222;5.269584539;0.7;84
2004-02-24;0.9;0.1;7.8;1.138888889;4.074670519;1.2;92
2004-02-25;1;-1.4;4.9;2.722222222;11.05627166;0.9;80
2004-02-26;2.8;-1;4;1.833333333;4.181749664;0;94
2004-02-27;3.1;2.8;4.8;0.75;4.235895885;7.1;98
2004-02-28;3.2;0;5.5;2.333333333;4.290420568;10.8;96
2004-02-29;0.8;0.1;4.3;1.833333333;4.345303954;6;93
2004-03-01;-1;-2.9;0.5;0.972222222;4.400526082;1.2;88
2004-03-02;0;-1;2.6;1.388888889;8.448180929;0;87
2004-03-03;2.3;-1;5.3;1.833333333;4.924519724;0;82
2004-03-04;-0.2;-1.8;3;0.972222222;10.49274878;0.1;79
2004-03-05;-1.7;-2.2;0.7;0.75;4.624396528;0;94
2004-03-06;-3;-9.5;1.9;0.75;15.44320442;2.2;74
2004-03-07;2.1;-4.9;7.6;2.25;13.02853923;0;69
2004-03-08;3.9;2;5.7;4.083333333;4.7948536;2;79
2004-03-09;1.2;0.2;4;1.388888889;4.852047948;9.7;95
2004-03-10;1.9;0.1;3.2;0.944444444;4.909394923;0.6;84
2004-03-11;3.6;-0.8;7.4;2.333333333;7.482281211;0;84
2004-03-12;5;2.6;8.4;3.722222222;9.319209451;0;73
2004-03-13;7;2.1;13.3;3.222222222;9.517030736;0;68
2004-03-14;9;3.6;17.1;2.527777778;12.61821533;0;68
2004-03-15;9.7;3;16.3;1.138888889;14.97258094;0;76
2004-03-16;11.1;2.2;18.6;1.388888889;14.07628363;0;72
2004-03-17;13;4.6;20.8;1.527777778;16.12545715;0;71
2004-03-18;13.3;4.6;22.8;1.138888889;16.93863895;0;66
2004-03-19;15.5;6.8;25;2.083333333;14.99384338;0;50
2004-03-20;14.7;9;22.9;1.527777778;15.92149155;0;54
2004-03-21;14.6;9.1;23.5;2.083333333;15.57511801;0;61
2004-03-22;10.6;8.9;16.4;2.722222222;11.93733127;0;78
